,train_size,train_score,test_score
0,307,0.8916433426629348,0.3903161458018497
1,307,0.8717439841230464,0.22885812730460012
2,307,0.8717439841230464,0.22470732837655408
3,307,0.8717439841230464,0.10042515464748435
4,307,0.8717439841230464,0.22555389644456997
5,1000,0.8852175133971405,0.3959781579318543
6,1000,0.9430650785107526,0.22446553426424062
7,1000,0.9120627656096763,0.18364262830200084
8,1000,0.9120627656096763,0.14695037175844766
9,1000,0.9120627656096763,0.1335808547560434
10,1693,0.8922392565445696,0.3750226681980294
11,1693,0.93123804772595,0.32781236776884487
12,1693,0.9203075132234523,0.08112192468113401
13,1693,0.9065854586981347,0.21854157851256323
14,1693,0.8990261656502065,0.32083619193672064
15,2386,0.9006699964858309,0.27661246448648974
16,2386,0.9300449928852479,0.22434463720808395
17,2386,0.9193296578582003,0.04618267545185273
18,2386,0.9273219919769409,0.08124282173729072
19,2386,0.901899392228299,0.2988821179224343
20,3079,0.908582982690418,0.27207882488061413
21,3079,0.9306722265615158,0.20758024542102405
22,3079,0.9226422938345638,0.15474823188055367
23,3079,0.9287711960492833,0.08414435108505111
24,3079,0.9177731865252338,0.28051979498769114
