,train_size,train_score,test_score
0,25,1.0,0.3995771670190275
1,25,1.0,0.46723044397463004
2,25,1.0,0.6427061310782242
3,25,1.0,0.4439746300211416
4,25,1.0,0.36544850498338866
5,84,0.9387755102040817,0.2949260042283298
6,84,0.9183673469387756,0.37737843551797035
7,84,0.9090909090909092,0.5919661733615222
8,84,0.9090909090909092,0.4915433403805496
9,84,0.9090909090909092,0.3543743078626799
10,142,0.9286956521739129,0.2367864693446089
11,142,0.9182608695652175,0.34038054968287523
12,142,0.923913043478261,0.26004228329809725
13,142,0.9069767441860465,0.5031712473572938
14,142,0.9069767441860465,0.36877076411960125
15,200,0.9416966917785785,0.2959830866807611
16,200,0.9341631182443499,0.4143763213530655
17,200,0.937984496124031,0.3033826638477801
18,200,0.9115623976416639,0.5327695560253701
19,200,0.9117944114016384,0.42635658914728675
20,259,0.9486099973269179,0.3520084566596195
21,259,0.9486099973269179,0.42917547568710357
22,259,0.9534883720930233,0.3710359408033826
23,259,0.9315690991713446,0.5243128964059196
24,259,0.9258373205741626,0.46511627906976744
