,fpr,tpr,thresholds
0,0.0,0.0,1.8539134
1,0.0016501650165016502,0.0,0.8539134
2,0.01155115511551155,0.0,0.83529645
3,0.01155115511551155,0.047619047619047616,0.82887536
4,0.019801980198019802,0.047619047619047616,0.78299755
5,0.019801980198019802,0.07142857142857142,0.7819954
6,0.028052805280528052,0.07142857142857142,0.7629633
7,0.028052805280528052,0.11904761904761904,0.75769013
8,0.034653465346534656,0.11904761904761904,0.7462837
9,0.034653465346534656,0.14285714285714285,0.7461963
10,0.036303630363036306,0.14285714285714285,0.7459207
11,0.036303630363036306,0.16666666666666666,0.7440011
12,0.041254125412541254,0.16666666666666666,0.7346568
13,0.041254125412541254,0.21428571428571427,0.73076147
14,0.0462046204620462,0.21428571428571427,0.72290546
15,0.0462046204620462,0.23809523809523808,0.72230613
16,0.04950495049504951,0.23809523809523808,0.72051775
17,0.04950495049504951,0.2619047619047619,0.7154861
18,0.054455445544554455,0.2619047619047619,0.7127829
19,0.054455445544554455,0.2857142857142857,0.7121477
20,0.056105610561056105,0.2857142857142857,0.7108538
21,0.056105610561056105,0.30952380952380953,0.7086129
22,0.07755775577557755,0.30952380952380953,0.66608244
23,0.07755775577557755,0.3333333333333333,0.6650591
24,0.0924092409240924,0.3333333333333333,0.64845455
25,0.0924092409240924,0.35714285714285715,0.6467283
26,0.09405940594059406,0.35714285714285715,0.6463793
27,0.09405940594059406,0.38095238095238093,0.64606965
28,0.09570957095709572,0.38095238095238093,0.64405555
29,0.09570957095709572,0.40476190476190477,0.64399165
30,0.10231023102310231,0.40476190476190477,0.63182133
31,0.10231023102310231,0.42857142857142855,0.63005465
32,0.10561056105610561,0.42857142857142855,0.6272678
33,0.10561056105610561,0.4523809523809524,0.6269107
34,0.14026402640264027,0.4523809523809524,0.5965792
35,0.14026402640264027,0.47619047619047616,0.5956677
36,0.14686468646864687,0.47619047619047616,0.58237356
37,0.14686468646864687,0.5,0.5806869
38,0.1617161716171617,0.5,0.5612672
39,0.1617161716171617,0.5238095238095238,0.5606268
40,0.17326732673267325,0.5238095238095238,0.5394134
41,0.17326732673267325,0.5476190476190477,0.5393006
42,0.23927392739273928,0.5476190476190477,0.48293987
43,0.23927392739273928,0.5714285714285714,0.48023263
44,0.27722772277227725,0.5714285714285714,0.4581067
45,0.27722772277227725,0.5952380952380952,0.45617887
46,0.29372937293729373,0.5952380952380952,0.44638255
47,0.29372937293729373,0.6428571428571429,0.44466123
48,0.31518151815181517,0.6428571428571429,0.4239591
49,0.31518151815181517,0.6666666666666666,0.4214105
50,0.3184818481848185,0.6666666666666666,0.41549107
51,0.3184818481848185,0.6904761904761905,0.4139666
52,0.33828382838283827,0.6904761904761905,0.4005277
53,0.33828382838283827,0.7142857142857143,0.4001384
54,0.37623762376237624,0.7142857142857143,0.3652277
55,0.37623762376237624,0.7380952380952381,0.36346227
56,0.40264026402640263,0.7380952380952381,0.33750096
57,0.40264026402640263,0.7619047619047619,0.3365388
58,0.4389438943894389,0.7619047619047619,0.312925
59,0.4389438943894389,0.7857142857142857,0.31214106
60,0.44884488448844884,0.7857142857142857,0.30482182
61,0.44884488448844884,0.8095238095238095,0.303658
62,0.4933993399339934,0.8095238095238095,0.28245035
63,0.4933993399339934,0.8333333333333334,0.28186667
64,0.5198019801980198,0.8333333333333334,0.27289686
65,0.5198019801980198,0.8571428571428571,0.27254558
66,0.5297029702970297,0.8571428571428571,0.26492232
67,0.5297029702970297,0.8809523809523809,0.2644495
68,0.5759075907590759,0.8809523809523809,0.24880832
69,0.5759075907590759,0.9047619047619048,0.24825771
70,0.6072607260726073,0.9047619047619048,0.2350201
71,0.6072607260726073,0.9285714285714286,0.2348243
72,0.6105610561056105,0.9285714285714286,0.23326513
73,0.6105610561056105,0.9523809523809523,0.23324712
74,0.6303630363036303,0.9523809523809523,0.22816175
75,0.6303630363036303,0.9761904761904762,0.22785869
76,0.8118811881188119,0.9761904761904762,0.17536703
77,0.8118811881188119,1.0,0.17516775
78,1.0,1.0,0.12147505
