,train_size,train_score,test_score
0,25,1.0,0.4260042283298097
1,25,1.0,0.3995771670190275
2,25,1.0,0.507399577167019
3,25,1.0,0.45665961945031713
4,25,1.0,0.363233665559247
5,84,0.9317784256559767,0.15644820295983086
6,84,0.9183673469387756,0.38477801268498946
7,84,0.8952978056426332,0.13530655391120508
8,84,0.8952978056426332,0.22198731501057084
9,84,0.8952978056426332,0.363233665559247
10,142,0.8869565217391303,0.17758985200845667
11,142,0.8452173913043478,0.021141649048625796
12,142,0.9160869565217391,0.26638477801268495
13,142,0.8970099667774085,0.3710359408033826
14,142,0.8970099667774085,0.363233665559247
15,200,0.9115623976416639,0.3372093023255814
16,200,0.9040288241074352,0.3054968287526427
17,200,0.9266295447101214,0.26638477801268495
18,200,0.8889616770389781,0.4418604651162791
19,200,0.889911345527999,0.09302325581395346
20,259,0.915196471531676,0.3044397463002114
21,259,0.9096498262496658,0.35517970401691334
22,259,0.9096498262496658,0.38054968287526425
23,259,0.8644747393744989,0.5824524312896406
24,259,0.9144072301967039,0.3167220376522702
