,fpr,tpr,thresholds
0,0.0,0.0,2.0
1,0.0038910505836575876,0.13157894736842105,1.0
2,0.00648508430609598,0.13157894736842105,0.9999999999947136
3,0.00648508430609598,0.18421052631578946,0.9999999997849898
4,0.009079118028534372,0.18421052631578946,0.9999999997201314
5,0.009079118028534372,0.21052631578947367,0.9999999983909333
6,0.016861219195849545,0.21052631578947367,0.9999998470049266
7,0.016861219195849545,0.23684210526315788,0.9999997547413119
8,0.02594033722438392,0.23684210526315788,0.9999967689725411
9,0.02594033722438392,0.3157894736842105,0.9999095384067066
10,0.0311284046692607,0.3157894736842105,0.9998118861761737
11,0.0311284046692607,0.3684210526315789,0.9989359726247294
12,0.0609597924773022,0.3684210526315789,0.9121876116062274
13,0.0609597924773022,0.39473684210526316,0.891205134136911
14,0.07003891050583658,0.39473684210526316,0.6461792067402509
15,0.07003891050583658,0.42105263157894735,0.5442195189904524
16,0.08041504539559015,0.42105263157894735,0.14075971714618352
17,0.08041504539559015,0.4473684210526316,0.13979669767537317
18,0.09857328145265888,0.4473684210526316,0.004982491548175839
19,0.09857328145265888,0.47368421052631576,0.004633324636191918
20,0.09987029831387809,0.47368421052631576,0.003971886924617469
21,0.09987029831387809,0.5,0.00387822811741954
22,0.10505836575875487,0.5,0.0019184011728033132
23,0.10505836575875487,0.5263157894736842,0.0017092180584851082
24,0.11024643320363164,0.5263157894736842,0.001026464775843727
25,0.11024643320363164,0.5526315789473685,0.0006331090352253513
26,0.1245136186770428,0.5526315789473685,0.00018897730529840104
27,0.1245136186770428,0.5789473684210527,0.0001879925658695983
28,0.14396887159533073,0.5789473684210527,3.089399473808817e-05
29,0.14396887159533073,0.6052631578947368,2.553754345833059e-05
30,0.14656290531776914,0.6052631578947368,2.337235833869783e-05
31,0.14656290531776914,0.6578947368421053,1.625495987704946e-05
32,0.191958495460441,0.6578947368421053,8.888481054979955e-07
33,0.191958495460441,0.6842105263157895,6.780454972224453e-07
34,0.2140077821011673,0.6842105263157895,2.0580241770433377e-07
35,0.2140077821011673,0.7105263157894737,1.6676495569744933e-07
36,0.27496757457846954,0.7105263157894737,1.5655946955687112e-08
37,0.27496757457846954,0.7368421052631579,1.5198942590278686e-08
38,0.3022049286640726,0.7368421052631579,4.478346503834981e-09
39,0.3022049286640726,0.7631578947368421,4.006912789488628e-09
40,0.3035019455252918,0.7631578947368421,3.20466024145749e-09
41,0.3035019455252918,0.7894736842105263,3.14758921720206e-09
42,0.3398184176394293,0.7894736842105263,1.1527288250143105e-09
43,0.3398184176394293,0.8157894736842105,1.0752083951992315e-09
44,0.3527885862516213,0.8157894736842105,6.605576269693184e-10
45,0.3527885862516213,0.8421052631578947,6.060098712102197e-10
46,0.38780804150453957,0.8421052631578947,1.484764584028246e-10
47,0.38780804150453957,0.868421052631579,1.3572667399825352e-10
48,0.3942931258106355,0.868421052631579,1.0332686350768938e-10
49,0.3942931258106355,0.8947368421052632,1.0068518124161476e-10
50,0.42412451361867703,0.8947368421052632,3.8097216237169385e-11
51,0.42412451361867703,0.9210526315789473,3.798065514632636e-11
52,0.5745784695201037,0.9210526315789473,3.0866926443473987e-13
53,0.5745784695201037,0.9473684210526315,3.080677582703305e-13
54,0.6264591439688716,0.9473684210526315,2.969083405444713e-14
55,0.6264591439688716,0.9736842105263158,2.9034668678655985e-14
56,0.7094682230869002,0.9736842105263158,9.576164402115814e-16
57,0.7094682230869002,1.0,8.31266969082901e-16
58,1.0,1.0,1.2755440625752965e-30
