,fpr,tpr,thresholds
0,0.0,0.0,2.0
1,0.12962962962962962,0.4444444444444444,1.0
2,0.12962962962962962,0.48148148148148145,0.9999999999999716
3,0.18518518518518517,0.48148148148148145,0.9999999999370885
4,0.18518518518518517,0.5555555555555556,0.9999999988797015
5,0.2037037037037037,0.5555555555555556,0.9999999643461315
6,0.2037037037037037,0.5925925925925926,0.999999196112167
7,0.25925925925925924,0.5925925925925926,0.9999784364291746
8,0.25925925925925924,0.6666666666666666,0.9994524135593104
9,0.2777777777777778,0.7407407407407407,0.9982782084308413
10,0.2962962962962963,0.7407407407407407,0.9782470114806313
11,0.2962962962962963,0.8148148148148148,0.9595143244743747
12,0.3333333333333333,0.8148148148148148,0.5035060780503431
13,0.37037037037037035,0.8148148148148148,0.43061676208860905
14,0.37037037037037035,0.8518518518518519,0.33906097731976537
15,0.42592592592592593,0.8518518518518519,0.07119679064647945
16,0.42592592592592593,0.8888888888888888,0.06704226638551511
17,0.46296296296296297,0.8888888888888888,0.020256336708161984
18,0.5,0.8888888888888888,0.018387790282988817
19,0.5370370370370371,0.8888888888888888,0.010457278825135016
20,0.5370370370370371,0.9259259259259259,0.0042513585396728015
21,0.6481481481481481,0.9259259259259259,1.2405357363983982e-06
22,0.6481481481481481,0.9629629629629629,1.2282170421953236e-07
23,0.7222222222222222,0.9629629629629629,2.4693907851589104e-11
24,0.7222222222222222,1.0,4.3613433827280875e-12
25,0.8703703703703703,1.0,5.154059395861292e-30
26,0.9629629629629629,1.0,6.625843091237196e-51
27,1.0,1.0,2.249399973820394e-64
