,train_size,train_score,test_score
0,307,0.8836465413834466,0.38435189103145334
1,307,0.7814438104688664,0.35293880594007526
2,307,0.7814438104688664,0.465453666203228
3,307,0.7814438104688664,0.3102822946261258
4,307,0.7814438104688664,0.3728964042132451
5,1000,0.8208176350829569,0.4239658264321264
6,1000,0.8482905482882082,0.3441939188780754
7,1000,0.869474410664342,0.40621410868645347
8,1000,0.869474410664342,0.4379697354369421
9,1000,0.869474410664342,0.3800193712417772
10,1693,0.6004086958190226,0.29055592496322713
11,1693,0.6215822092599343,0.3233593262004071
12,1693,0.827465126542203,0.22486852445142966
13,1693,0.8048661337393731,0.39261318986882676
14,1693,0.7904565463309068,0.429113362121151
15,2386,0.6457487196326829,0.3240041104999093
16,2386,0.6664247074886367,0.3089524270084024
17,2386,0.8345440893789521,0.19458381188418067
18,2386,0.6576815317936281,0.2003868705797014
19,2386,0.6239169575912291,0.38887767867952694
20,3079,0.6674657965683187,0.3636583449193012
21,3079,0.6786225402504473,0.3506014628543796
22,3079,0.8108707702386052,0.29105966269721334
23,3079,0.6776184837108519,0.23121561989965547
24,3079,0.6853863790974828,0.2845958271116671
