,fpr,tpr,thresholds
0,0.0,0.0,1.999999999996291
1,0.018518518518518517,0.037037037037037035,0.999999999996291
2,0.018518518518518517,0.14814814814814814,0.9999999998899369
3,0.05555555555555555,0.14814814814814814,0.9999999997839382
4,0.05555555555555555,0.2222222222222222,0.9999999995547739
5,0.05555555555555555,0.2962962962962963,0.9999999979397529
6,0.05555555555555555,0.37037037037037035,0.9999999892107923
7,0.07407407407407407,0.37037037037037035,0.999997026854665
8,0.07407407407407407,0.4074074074074074,0.999984504759886
9,0.09259259259259259,0.4074074074074074,0.9999633290310214
10,0.09259259259259259,0.48148148148148145,0.9998916387612881
11,0.12962962962962962,0.48148148148148145,0.9998442641214501
12,0.12962962962962962,0.5925925925925926,0.9922366583680609
13,0.16666666666666666,0.5925925925925926,0.9731805719705616
14,0.16666666666666666,0.6296296296296297,0.9712743729470471
15,0.2037037037037037,0.6296296296296297,0.9707176528612144
16,0.2222222222222222,0.6296296296296297,0.9395596194587504
17,0.24074074074074073,0.7037037037037037,0.9211921834420186
18,0.24074074074074073,0.7407407407407407,0.9024860019300105
19,0.25925925925925924,0.7407407407407407,0.7951310482705912
20,0.2962962962962963,0.7407407407407407,0.6483322987682707
21,0.2962962962962963,0.7777777777777778,0.6027742702080796
22,0.35185185185185186,0.7777777777777778,0.2813031922485166
23,0.35185185185185186,0.8518518518518519,0.18628973992128195
24,0.42592592592592593,0.8518518518518519,0.1242567558247761
25,0.42592592592592593,0.8888888888888888,0.11968323019178335
26,0.46296296296296297,0.8888888888888888,0.1010216044702081
27,0.46296296296296297,0.9259259259259259,0.061846403234578365
28,0.6111111111111112,0.9259259259259259,0.012200992026462083
29,0.6111111111111112,0.9629629629629629,0.010671820084578973
30,0.7777777777777778,0.9629629629629629,4.284658097159998e-05
31,0.7777777777777778,1.0,3.7833665085368704e-05
32,0.8703703703703703,1.0,1.646434511800024e-07
33,0.9629629629629629,1.0,7.769141481545338e-09
34,1.0,1.0,4.5795264092233746e-11
