,train_size,train_score,test_score
0,366,1.1,0.0
1,366,0.10435310177460941,0.03275140329178955
2,366,0.05217655088730471,0.03232328037294263
3,366,0.05217655088730471,0.0
4,366,0.05232822690732593,0.0
5,1191,1.1,0.0
6,1191,0.1109092743970128,0.0739130434782609
7,1191,0.16575840145322435,0.06849966701550755
8,1191,0.044776119402985065,0.0
9,1191,0.0,0.0
10,2016,0.9170763339920949,0.3144194542756022
11,2016,0.39565453557849,0.19004852059746932
12,2016,0.19923954372623578,0.040762058795547514
13,2016,0.39064483588112053,0.18397215865751335
14,2016,0.39128734383487235,0.2097730739893211
15,2841,0.9320842201276983,0.8144479963466148
16,2841,0.9223704508419337,0.8005898582437447
17,2841,0.9287061379684953,0.8008467319950527
18,2841,0.9272243346007605,0.7063739511823036
19,2841,0.9106083650190114,0.7256674294431732
20,3666,0.9593516357921806,0.9124329261331202
21,3666,0.9571748528569198,0.8916373323185234
22,3666,0.9371321422990782,0.8363809342593473
23,3666,0.9349082169458232,0.8580758962623951
24,3666,0.9577007731057422,0.8910183066361556
