,train_size,train_score,test_score
0,366,1.1,0.0
1,366,0.10465645381465187,0.05869565217391306
2,366,0.10465645381465187,0.006521739130434782
3,366,0.10465645381465187,0.032751716247139594
4,366,0.10465645381465187,0.0
5,1191,1.1,0.0
6,1191,0.22080936522353417,0.23159071448958232
7,1191,0.2431123221313957,0.23974883455427645
8,1191,0.2083975142083178,0.028198893974065605
9,1191,0.2083975142083178,0.039216247139588094
10,2016,0.936743453557312,0.4391768466719946
11,2016,0.48208582292232477,0.3671391875178384
12,2016,0.4879615116008381,0.3202359432974978
13,2016,0.5050671219057965,0.32932875667429445
14,2016,0.4772716691239233,0.30047196796338677
15,2841,0.8713759067019936,0.7981124177036952
16,2841,0.8637702335687126,0.7340167443630482
17,2841,0.8795980445410102,0.7675197412234802
18,2841,0.8726447582835416,0.6699323035850495
19,2841,0.870342205323194,0.732565789473684
20,3666,0.831696747464165,0.8063135061080031
21,3666,0.8385436741496953,0.7196318142897917
22,3666,0.8431814156987343,0.7483588621444202
23,3666,0.8292485471713555,0.7448512585812357
24,3666,0.8471343001495614,0.7418382913806255
