,train_size,train_score,test_score
0,258,1.1,0.0
1,258,1.1,0.0
2,258,1.1,0.0
3,258,1.1,0.0
4,258,1.1,0.0
5,841,0.9831528279181707,0.11904409953190444
6,841,0.9826732673267325,0.2016768292682927
7,841,0.9880668257756564,0.0
8,841,0.9880668257756564,0.03025367683348139
9,841,0.9880668257756564,0.0
10,1423,0.9847826086956522,0.20763734910076373
11,1423,0.9767947788252357,0.3158028455284553
12,1423,0.9771723122238586,0.2866449511400652
13,1423,0.9753801593048516,0.08824400355344982
14,1423,0.9753801593048516,0.14534596782153789
15,2005,0.9732984293193716,0.20453313624045333
16,2005,0.9732844421162912,0.2855691056910569
17,2005,0.9806282722513088,0.15753627480011845
18,2005,0.9758783429470371,0.16523541604974826
19,2005,0.9808488612836439,0.11667160201362159
20,2588,0.9768009768009768,0.23335796994333585
21,2588,0.9771986970684039,0.3124491869918699
22,2588,0.9796499796499797,0.15901687888658572
23,2588,0.9784289784289785,0.11035435791136115
24,2588,0.9727420667209113,0.24696476162274206
